task	NWKIT_0.28.0	Gotree_0.5.2	PhyKIT_2.3.0	Newick_Utilities_1.6	decision_rule
Standard-stream composition	Native: all 33 functional commands read the primary input from stdin by default; 31 write the primary result to stdout; every command can append a JSONL audit record	Native: commands accept stdin and emit stdout	Partial: most tree transformations require input file paths and may create derived files; selected reports use stdout	Native: programs accept stdin and emit stdout	Native requires a documented tree-producing command to accept stdin and emit its primary result to stdout without a temporary file
Explicit Newick interpretation and ambiguity rejection	Native: selectable ETE format, automatic detection, strict automatic mode, and quoted-name control	Not identified: Newick is accepted, but no documented equivalent of parser dialect selection or strict ambiguous-numeric-label rejection	Not identified in reviewed command help	Not identified in the v1.6 manual	Count only controls that distinguish alternative interpretations of syntactically readable Newick, not generic parse errors
Consolidated preflight report	Native: one report covers parse status, duplicate or empty tips, branch-length and support problems, rooting, ultrametricity, binarity, and cross-tree consistency	Partial: parsing, rootedness statistics, monophyly, and tip-set comparison are separate operations	Partial: task-specific checks and statistics are available, but no equivalent consolidated preflight command was identified	Partial: parsing and several consistency checks are distributed across utilities	Native requires one user-facing operation that reports representation, structural, and collection-level checks
Routine tree transformations	Native: prune, rename, collapse, remove or fill annotations, rescale, resolve polytomies, remove singletons, and join tabular properties to tips or clades	Native: corresponding commands are documented	Native: pruning, renaming, branch collapse, branch-length multiplication, and related operations are documented	Native: pruning, renaming, rerooting, topology editing, support handling, and related filters are documented	Grouped row records established overlap and is not used as a novelty claim
Rooting strategies	Native: outgroup, transferred root, midpoint, minimal ancestor deviation, and taxonomy-based rooting	Partial: outgroup and midpoint rooting	Partial: user-specified outgroup rooting; no documented midpoint, MAD, or taxonomy-based mode was identified	Partial: explicit outgroup and longest-edge fallback	Modes count only when exposed in the reviewed command-line interface
Topology-aware annotation transfer	Native: diff reports clade-level compatibility; compose and transfer map roots, names, support, lengths, and arbitrary NHX properties, with conservative projection onto partially overlapping tip sets	Partial: annotation from a comparison tree and node-name/comment transfer are supported	Native: internal annotations are matched by descendant-taxon bipartitions	Not identified in the v1.6 manual	Simple tip renaming or positional copying does not qualify
Tree-collection summaries	Native: clade frequencies, weighted strict/majority/greedy consensus, optional reference tree, and branch-length summaries	Native: consensus plus classical and transfer bootstrap support	Native: strict or majority consensus and several gene-tree discordance analyses	Partial: support calculations are available; no consensus-tree operation was identified	Native requires at least consensus or branch-frequency/support calculation across a tree collection
Taxonomy-derived topology	Native: NCBI, NCBI+APG IV, or user backbones can produce constraints; NCBI/OpenTree/TimeTree can inform rooting	Partial: NCBI taxonomy can be downloaded, pruned, and used to annotate trees, but no integrated species-label-aware constraint workflow was identified	Not identified in reviewed command help	Not identified in the v1.6 manual	External taxonomy must directly determine a returned topology or root
Trait-aware selection and monophyly	Native: tip tables can be attached and aggregated onto clades; grouped monophyly tests, maximum-PD or ranked representative sampling, and clade skimming use trait filters	Partial: monophyly of a supplied tip set; tree sampling is over input trees rather than tips	Partial: monophyly tests and phylogenetic-diversity calculations; no equivalent trait-filtered representative-tip selection was identified	Not identified in the v1.6 manual	Selection must choose tips using tree structure plus supplied metadata; monophyly-only implementations are partial
Categorical ancestral-state analysis	Native: Mk likelihood under ER/SYM/ARD, marginal probabilities, maximum-a-posteriori states, and stochastic maps	Partial: most-parsimonious ancestral characters and sequences	Native: discrete model fitting, stochastic character mapping, and parsimony character mapping are documented	Not identified in the v1.6 manual	Likelihood reconstruction, stochastic mapping, and parsimony are recorded separately in the detailed audit; this grouped row denotes any native categorical-ASR workflow
MCMCtree calibration preparation	Native: user calibrations or TimeTree point/interval estimates can be converted to MCMCtree-labelled Newick	Not identified	Not identified	Not identified	Chronogram plotting or general node annotation does not qualify
Tree and trait visualization	Native: rectangular/radial tree drawing with support and categorical-trait annotation; species-image retrieval is a separate command	Native: text, PNG, SVG, and Cytoscape outputs	Native: tree, chronogram, trait-map, network, and other plots	Native: text, PostScript, and SVG tree displays	Grouped row records overlap and is not used as a novelty claim
